번호;영어단어;테마;품사1;의미1;예시문1;품사2;의미2;예시문2;품사3;의미3;예시문3;새 테마
348;cooperate;문화와 예술;동;협력하다;We need to cooperate with other departments to achieve our goals.;;;;;;;국제 및 지역
349;emit;음식과 요리;동;(빛, 열, 소리 등을)방출하다;The sun emits light and heat.;;;;;;;국제 및 지역
350;request;일상 및 여가 생활;명;요청;I submitted a request for additional funding.;동;요청하다;You need to request permission before accessing the files.;;;;국제 및 지역
351;guarantee;일상 및 여가 생활;동;보장하다;We guarantee satisfaction with our products.;;;;;;;국제 및 지역
352;resist;일상 및 여가 생활;동;저항하다;It's hard to resist the temptation of chocolate.;;;;;;;국제 및 지역
353;fulfill;일상 및 여가 생활;동;달성하다, 이행하다;We aim to fulfill our promises to our customers.;;;;;;;국제 및 지역
354;stink;문화와 예술;동;역겹다, 악취를 풍기다;The garbage started to stink after a few days.;;;;;;;국제 및 지역
355;grant;일상 및 여가 생활;동;수여하다, 승인하다;The foundation will grant scholarships to deserving students.;;;;;;;국제 및 지역
356;rely;일상 및 여가 생활;동;의지하다, 믿다;We rely on your expertise to solve this problem.;;;;;;;국제 및 지역
357;permanent;일상 및 여가 생활;형;영원한, 영구적인;The tattoo left a permanent mark on his skin.;;;;;;;국제 및 지역
358;emergency;일상 및 여가 생활;명;비상 사태;In case of emergency, dial 911.;;;;;;;국제 및 지역
359;rid;일상 및 여가 생활;동;제거하다;We need to rid the house of pests.;;;;;;;국제 및 지역
360;theme;문화와 예술;명;주제, 화제;The theme of the party was 'under the sea'.;;;;;;;국제 및 지역
361;hesitate;일상 및 여가 생활;동;주저하다, 망설이다;Don't hesitate to ask if you need help.;;;;;;;국제 및 지역
362;location;일상 및 여가 생활;명;위치, 장소;The location of the new store is excellent.;;;;;;;국제 및 지역
363;restrict;일상 및 여가 생활;동;제한하다, 한정하다;The new regulations will restrict access to certain areas.;;;;;;;국제 및 지역
364;organism;일상 및 여가 생활;명;유기체, 생물;The pond teems with various aquatic organisms.;;;;;;;국제 및 지역
365;resolve;일상 및 여가 생활;동;해결하다, 결심하다;She resolved to overcome her fears and pursue her dreams.;;;;;;;인간과 사회
366;offer;일상 및 여가 생활;동;제공하다, 제안하다;The company offered a generous compensation package.;;;;;;;일상 생활
367;distribute;일상 및 여가 생활;동;분배하다, 분포시키다;We will distribute the flyers to every household in the neighborhood.;;;;;;;국제 및 지역
368;rainforest;일상 및 여가 생활;명;열대우림;The Amazon rainforest is home to countless species of plants and animals.;;;;;;;국제 및 지역
369;circumstance;일상 및 여가 생활;명;상황, 환경;Under the circumstances, I think we made the right decision.;;;;;;;국제 및 지역
370;interpret;일상 및 여가 생활;동;해석하다, 통역하다;The translator interpreted the speaker's words into English.;;;;;;;국제 및 지역
371;suitable;일상 및 여가 생활;형;적절한, 적합한;This textbook is suitable for students of all levels.;;;;;;;인간과 사회
372;curve;일상 및 여가 생활;명;곡선, 속임수;The road curved sharply to the left.;;;;;;;국제 및 지역
373;annoy;문화와 예술;동;괴롭히다, 귀찮게 하다;His constant interruptions were starting to annoy me.;;;;;;;인간과 사회
374;frighten;일상 및 여가 생활;동;겁먹게 하다;The sudden loud noise frightened the children.;;;;;;;국제 및 지역
375;estimate;일상 및 여가 생활;동;평가하다;It's difficult to estimate the cost of the project without more information.;명;견적, 평가;The estimate for the repair work was much higher than expected.;;;;국제 및 지역
376;refuse;일상 및 여가 생활;동;거절하다;He refused to accept the offer.;;;;;;;인간과 사회
377;adventure;일상 및 여가 생활;명;모험;They embarked on an exciting adventure through the jungle.;;;;;;;국제 및 지역
378;entrance;일상 및 여가 생활;명;입구, 입장;The entrance to the building was grand and imposing.;;;;;;;국제 및 지역
379;persuade;일상 및 여가 생활;동;설득하다;She tried to persuade him to change his mind.;;;;;;;국제 및 지역
380;perceive;일상 및 여가 생활;동;인지하다, 인식하다;Different people perceive the same situation in different ways.;;;;;;;국제 및 지역
381;recite;일상 및 여가 생활;동;암송하다;The students were asked to recite a poem from memory.;;;;;;;국제 및 지역
382;gather;일상 및 여가 생활;동;모으다;We'll gather data from various sources before making a decision.;;;;;;;국제 및 지역
383;cabin;일상 및 여가 생활;명;객실, 선실, 오두막집;They stayed in a cozy cabin in the woods.;;;;;;;국제 및 지역
384;gear;일상 및 여가 생활;명;장비,  기어;Make sure you have all the necessary camping gear before you leave.;동;맞게 조정하다;He quickly geared up for the challenging hike ahead.;;;;국제 및 지역
385;ray;일상 및 여가 생활;명;광선;The sunlight filtered through the window in bright rays.;;;;;;;국제 및 지역
386;release;일상 및 여가 생활;동;놓아주다, 방출하다;The company will release a new product next month.;명;석방, 발표;The release of the latest smartphone generated a lot of buzz.;;;;국제 및 지역
387;rank;일상 및 여가 생활;명;지위, 계급;He rose through the ranks to become CEO.;동;매기다, (등급을)차지하다;The movie ranked first at the box office for three consecutive weeks.;;;;국제 및 지역
388;symphony;일상 및 여가 생활;명;교향곡;The orchestra performed Beethoven's Symphony No. 9.;;;;;;;국제 및 지역
389;envy;일상 및 여가 생활;동;부러워하다;She envied her friend's success.;명;부러움;His success was the envy of his peers.;;;;국제 및 지역
390;corporate;경제, 금융 및 산업;형;회사의, 법인의;The corporate culture of the company encourages innovation.;;;;;;;국제 및 지역
391;alternative;일상 및 여가 생활;명;대안;We need to consider alternative solutions to the problem.;형;대안의;This solution provides an alternative approach to the traditional method.;;;;국제 및 지역
392;retire;일상 및 여가 생활;동;은퇴하다;He decided to retire after working for 40 years.;;;;;;;국제 및 지역
393;appeal;경제, 금융 및 산업;동;호소하다, 관심을 끌다;The charity's appeal for donations raised a significant amount of money.;명;호소, 항의;The appeal of the movie lies in its gripping storyline.;;;;국제 및 지역
394;identical;일상 및 여가 생활;형;동일한, 일란성의;The twins looked nearly identical.;;;;;;;국제 및 지역
395;investment;경제, 금융 및 산업;명;투자;He made a wise investment in the stock market.;;;;;;;국제 및 지역
396;autograph;일상 및 여가 생활;명;서명;She asked the actor for his autograph.;동;서명하다;The celebrity autographed posters for her fans.;;;;국제 및 지역
397;slave;일상 및 여가 생활;명;노예;Slavery was abolished in the 19th century.;;;;;;;국제 및 지역
398;harm;건강과 의료;명;손해, 손상;Smoking can cause serious harm to your health.;동;해치다;Please be careful not to harm the delicate ecosystem.;;;;국제 및 지역
399;authority;정치, 법률 및 사회;명;권위, 당국;The government has the authority to enforce laws.;;;;;;;국제 및 지역
400;innocence;일상 및 여가 생활;명;결백, 무죄, 순진;He maintained his innocence throughout the trial.;;;;;;;국제 및 지역
401;infant;일상 및 여가 생활;명;유아, 유치원생;Babies are born as infants.;;;;;;;국제 및 지역
402;calculate;일상 및 여가 생활;동;계산하다;We need to calculate the total cost of the project.;;;;;;;국제 및 지역
403;charity;일상 및 여가 생활;명;자선 단체;Supporting a local charity can make a big difference in the community.;;;;;;;국제 및 지역
404;receive;일상 및 여가 생활;동;받다;She was excited to receive a gift from her friend.;;;;;;;국제 및 지역
405;whereas;음악과 엔터테인먼트;접;그런데, ~에 반해서;I enjoy reading, whereas my sister prefers watching movies.;;;;;;;국제 및 지역
406;board;일상 및 여가 생활;명;판자, 게시판;Please write your name on the board.;동;타다;The passengers began to board the plane.;;;;국제 및 지역
407;ignorant;일상 및 여가 생활;형;무지한, 무식한;He was ignorant of the consequences of his actions.;;;;;;;국제 및 지역
408;depend;스포츠;동;의존하다, ~에 달려 있다;Our success depends on teamwork.;;;;;;;국제 및 지역
409;pure;일상 및 여가 생활;형;순수한, 깨끗한;The water in the mountain stream is pure and clear.;;;;;;;국제 및 지역
410;extinct;일상 및 여가 생활;형;멸종된, 사라진;The dodo bird is an extinct species.;;;;;;;국제 및 지역
411;household;일상 및 여가 생활;명;가정;We need to buy groceries for the household.;형;가정의;Household chores include cooking and cleaning.;;;;국제 및 지역
412;chapter;일상 및 여가 생활;명;(책의) 장, 시기, 사제단;The final chapter of the book revealed the truth about the mystery.;;;;;;;국제 및 지역
413;refund;일상 및 여가 생활;동;환불하다;I returned the item to the store and requested a refund.;명;환불금;They issued a refund for the defective product.;;;;국제 및 지역
414;institute;과학과 기술;명;기관, 협회;The institute conducts research on environmental issues.;;;;;;;국제 및 지역
415;lately;일상 및 여가 생활;부;최근에;"I haven't seen him lately; he must be busy.";;;;;;;국제 및 지역
416;accept;일상 및 여가 생활;동;받아들이다;She finally accepted the job offer after much consideration.;;;;;;;국제 및 지역
417;ashamed;문화와 예술;형;부끄러워하는;She felt ashamed of her behavior at the party.;;;;;;;국제 및 지역
418;dense;일상 및 여가 생활;형;밀집한, (앞이 안 보이게) 짙은;The forest became dense as we ventured deeper into it.;;;;;;;국제 및 지역
419;rescue;일상 및 여가 생활;동;구출하다;The firefighters rescued the cat from the burning building.;명;구출;The rescue of the hikers trapped in the mountains was successful.;;;;국제 및 지역
420;continue;일상 및 여가 생활;동;계속하다;We will continue our efforts until we achieve our goal.;;;;;;;국제 및 지역
421;destination;일상 및 여가 생활;명;목적지;Their dream vacation spot was their ultimate destination.;;;;;;;국제 및 지역
422;expand;일상 및 여가 생활;동;확장되다, 확장시키다;The company plans to expand its operations overseas.;;;;;;;국제 및 지역
423;evolution;문화와 예술;명;진화, 발전;The theory of evolution explains the diversity of life on Earth.;;;;;;;국제 및 지역
424;hire;일상 및 여가 생활;동;고용하다;The company decided to hire additional staff for the project.;;;;;;;국제 및 지역
425;isolate;교육과 학습;동;고립시키다, 격리시키다;The scientists isolated the bacteria in the lab for study.;;;;;;;국제 및 지역
426;gravity;일상 및 여가 생활;명;중력;The apple fell from the tree due to the force of gravity.;;;;;;;국제 및 지역
427;genuine;일상 및 여가 생활;형;진짜의, 진실된;I could tell by her genuine smile that she was happy.;;;;;;;국제 및 지역
428;statue;일상 및 여가 생활;명;조각상;The city erected a statue in honor of the founding father.;;;;;;;국제 및 지역
429;compete;일상 및 여가 생활;동;경쟁하다;Athletes from around the world will compete in the Olympics.;;;;;;;국제 및 지역
430;military;일상 및 여가 생활;형;군의, 군사의;He served in the military for ten years.;명;군, 군대;The military conducted a training exercise in the desert.;;;;국제 및 지역
431;logic;정치, 법률 및 사회;명;논리, 논리학;She used flawless logic to argue her case.;;;;;;;국제 및 지역
432;commit;일상 및 여가 생활;동;(죄 등을) 저지르다, 약속하다, 헌신하다;He committed a crime and was arrested by the police.;;;;;;;국제 및 지역
433;sensible;경제, 금융 및 산업;형;합리적인, 현명한;It would be sensible to save some money for emergencies.;;;;;;;국제 및 지역
434;sum;일상 및 여가 생활;명;금액, 합계;The total sum of their expenses exceeded their budget.;;;;;;;국제 및 지역
435;conserve;기타;동;보존하다, 보호하다;We need to conserve energy to protect the environment.;;;;;;;국제 및 지역
436;swing;스포츠;동;흔들다, 휘두르다;The children were swinging on the playground swings.;;;;;;;국제 및 지역
437;marriage;일상 및 여가 생활;명;결혼, 결혼 생활;Their marriage lasted for over fifty years.;;;;;;;국제 및 지역
438;reproduce;일상 및 여가 생활;동;번식하다, 재생하다, 복제하다;The goal of every species is to reproduce and pass on its genes.;;;;;;;국제 및 지역
439;tone;일상 및 여가 생활;명;음조, 어조, 억양;Her tone of voice indicated that she was upset.;동;조화하다, 탄력있게 만들다;She tried to tone down her criticism to avoid hurting his feelings.;;;;국제 및 지역
440;concept;일상 및 여가 생활;명;개념;The concept of time is difficult for young children to grasp.;;;;;;;국제 및 지역
441;invitation;일상 및 여가 생활;명;초대;She received an invitation to the wedding.;;;;;;;국제 및 지역
442;precise;일상 및 여가 생활;형;정확한, 정밀한;The instructions must be followed with precise attention to detail.;;;;;;;국제 및 지역
443;formal;일상 및 여가 생활;형;공식적인, 격식을 차린;He wore a formal suit to the wedding.;;;;;;;국제 및 지역
444;particle;문화와 예술;명;작은 조각, 입자;Particles of dust floated in the sunlight.;;;;;;;국제 및 지역
445;cancel;음식과 요리;동;취소하다;They had to cancel the concert due to bad weather.;;;;;;;국제 및 지역
446;return;일상 및 여가 생활;동;돌아가다, 돌려주다;He promised to return the book to the library by the due date.;명;돌아감, 귀향;Their return home after years of traveling was a joyous occasion.;;;;국제 및 지역
447;departure;문화와 예술;명;출발, 떠남, 일탈;The departure of the train was delayed by thirty minutes.;;;;;;;국제 및 지역
448;apparent;일상 및 여가 생활;형;명백한;His lack of interest was apparent from his bored expression.;;;;;;;국제 및 지역
449;visual;음식과 요리;형;눈에 보이는, 시각의;The artist created a stunning visual masterpiece.;;;;;;;국제 및 지역
450;agriculture;경제, 금융 및 산업;명;농업;The country relies heavily on agriculture for its economy.;;;;;;;국제 및 지역
451;rite;문화와 예술;명;의식, 의례;The wedding ceremony included traditional rites and rituals.;;;;;;;국제 및 지역
452;poverty;정치, 법률 및 사회;명;가난;The government implemented programs to alleviate poverty.;;;;;;;국제 및 지역
453;sculpture;문화와 예술;명;조각상;The museum displayed ancient sculptures from various civilizations.;;;;;;;국제 및 지역
454;descend;일상 및 여가 생활;동;내려가다, 내려오다;The hikers began to descend the mountain as night fell.;;;;;;;국제 및 지역
455;leak;문화와 예술;동;새다;The roof of the house started to leak during the heavy rain.;;;;;;;국제 및 지역
456;portion;음식과 요리;명;부분, 1인분;She served herself a generous portion of food.;;;;;;;국제 및 지역
457;companion;일상 및 여가 생활;명;친구, 동료;She went for a walk with her faithful canine companion.;;;;;;;국제 및 지역
458;diligent;일상 및 여가 생활;형;근면한;He was known for his diligent work ethic.;;;;;;;국제 및 지역
459;distinct;일상 및 여가 생활;형;뚜렷한, 다른;Each species has distinct characteristics.;;;;;;;국제 및 지역
460;component;일상 및 여가 생활;명;구성 요소;The engine consists of many intricate components.;;;;;;;국제 및 지역
461;current;일상 및 여가 생활;형;현재의, 지금의;We need to stay informed about current events.;;;;;;;국제 및 지역
462;universal;일상 및 여가 생활;형;보편적인, 전 세계의;The desire for happiness is universal among all people.;;;;;;;국제 및 지역
463;trap;일상 및 여가 생활;명;덫;The hunter set a trap to catch the elusive rabbit.;동;가두다;They managed to trap the mouse in a box.;;;;국제 및 지역
464;eager;문화와 예술;형;갈망하는;She was eager to start her new job.;;;;;;;국제 및 지역
465;legal;정치, 법률 및 사회;형;법률의, 합법적인;He sought legal advice before signing the contract.;;;;;;;국제 및 지역
466;demonstrate;과학과 기술;동;입증하다, 시위하다, 설명하다;The scientist demonstrated the experiment to the students.;;;;;;;인간과 사회
467;democracy;일상 및 여가 생활;명;민주주의;The country transitioned to a democracy after years of dictatorship.;;;;;;;국제 및 지역
468;mature;일상 및 여가 생활;형;성숙한;She showed a mature understanding of the situation.;동;성숙하다;He needed time to mature emotionally.;;;;국제 및 지역
469;brilliant;스포츠;형;빛나는, 훌륭한;Her performance in the play was brilliant.;;;;;;;국제 및 지역
470;annual;문화와 예술;형;연간의, 해마다의;The annual conference attracts participants from around the world.;;;;;;;국제 및 지역
471;faith;일상 및 여가 생활;명;믿음, 신념;Her faith in humanity remained unshaken despite the hardships.;;;;;;;국제 및 지역
472;spare;일상 및 여가 생활;동;(시간, 돈을) 할애하다, (고생을) 면하게 하다;She spared no effort in completing the project on time.;형;여분의;Do you have any spare change for the parking meter?;;;;국제 및 지역
473;transfer;문화와 예술;동;이동하다, 옮기다, 환승하다;She decided to transfer to a different department within the company.;명;이;The transfer of funds was completed electronically.;동;환승;We need to transfer to another train to reach our destination.;국제 및 지역
474;refrigerator;일상 및 여가 생활;명;냉장고;She stored the leftovers in the refrigerator.;;;;;;;국제 및 지역
475;oppose;정치, 법률 및 사회;동;반대하다;Many people oppose the new law.;;;;;;;국제 및 지역
476;desperate;음식과 요리;형;절망적인, 필사적인;The refugees were in desperate need of food and shelter.;;;;;;;국제 및 지역
477;remote;일상 및 여가 생활;형;멀리 떨어진, 원격 조정의;Their village was located in a remote area of the mountains.;;;;;;;국제 및 지역
478;offend;일상 및 여가 생활;동;불쾌하게 하다;She didn't mean to offend anyone with her comments.;;;;;;;국제 및 지역
479;awake;일상 및 여가 생활;형;깨어있는;He was wide awake despite the late hour.;;;;;;;국제 및 지역
480;aim;일상 및 여가 생활;동;목표로 하다, 겨누다;Her aim was to finish the race in under two hours.;명;목표;Setting realistic aims can help you achieve success.;;;;국제 및 지역
481;option;일상 및 여가 생활;명;선택, 선택권;You have the option to pay by cash or credit card.;;;;;;;국제 및 지역
482;insight;일상 및 여가 생활;명;통찰력;His insights into the market trends were invaluable.;;;;;;;국제 및 지역
483;achieve;일상 및 여가 생활;동;이루다, 성취하다;She worked hard to achieve her goals.;;;;;;;국제 및 지역
484;civil;문화와 예술;형;시민의, 민간의;Civil liberties are essential for a democratic society.;;;;;;;국제 및 지역
485;pause;일상 및 여가 생활;동;잠시 멈추다;She paused for a moment to collect her thoughts.;명;중단;There was a brief pause in the conversation.;;;;국제 및 지역
486;prove;정치, 법률 및 사회;동;입증하다;He needed to prove his innocence in court.;;;;;;;인간과 사회
487;lecture;과학과 기술;명;강의;The professor delivered an engaging lecture on neuroscience.;동;강의를 하다;She was invited to lecture at the prestigious university.;;;;국제 및 지역
488;minor;일상 및 여가 생활;명;미성년자, 사소한;He was still a minor at the time of the accident.;형;사소한, 중요하지 않은;The issue was minor and easily resolved.;동;부전공하다;She decided to minor in psychology while majoring in biology.;국제 및 지역
489;duty;일상 및 여가 생활;명;의무, 관세;It's my duty to take care of my family.;;;;;;;국제 및 지역
490;vigor;일상 및 여가 생활;명;활력;Despite his age, he approached the task with vigor.;;;;;;;국제 및 지역
491;organize;일상 및 여가 생활;동;조직하다, 구성하다;She helped organize the charity event.;;;;;;;비즈니스와 경제
492;chief;일상 및 여가 생활;명;우두머리;The chief of police arrived at the scene of the crime.;형;우두머리의, 주요한;The chief concern was the safety of the passengers.;;;;국제 및 지역
493;complicated;일상 및 여가 생활;형;복잡한;The instructions were complicated and difficult to understand.;;;;;;;국제 및 지역
494;digest;음식과 요리;동;소화하다;It takes time for the body to digest heavy foods.;명;요약;He wrote a digest of the main points discussed in the meeting.;;;;국제 및 지역
495;shortage;일상 및 여가 생활;명;부족, 결함;There is a shortage of affordable housing in the city.;;;;;;;국제 및 지역
496;laboratory;과학과 기술;명;실험실;The scientists conducted experiments in the laboratory.;;;;;;;국제 및 지역
497;arrive;일상 및 여가 생활;동;도착하다;They arrived at their destination after a long journey.;;;;;;;국제 및 지역
498;generous;일상 및 여가 생활;형;관대한, 넉넉한;She was known for her generous donations to charity.;;;;;;;국제 및 지역
499;laundry;일상 및 여가 생활;명;세탁물;She hung the laundry out to dry in the sun.;;;;;;;국제 및 지역
500;transform;일상 및 여가 생활;동;변형시키다, 변환하다;The caterpillar will transform into a butterfly.;;;;;;;국제 및 지역
501;discipline;일상 및 여가 생활;명;규율, 훈련;The military emphasizes discipline.;동;훈육하다, 징계하다;Parents discipline their children to instill good behavior.;;;;국제 및 지역
502;forbid;교육과 학습;동;금지하다;The teacher forbids students from using their phones during class.;;;;;;;국제 및 지역
503;ultimate;일상 및 여가 생활;형;궁극적인, 최후의;The ultimate goal of the project is to increase efficiency.;;;;;;;국제 및 지역
504;thrive;경제, 금융 및 산업;동;번영하다, 발전하다;The business thrives in a competitive market.;;;;;;;국제 및 지역
505;conversation;기타;명;대화, 회담;Meaningful conversations enhance relationships.;;;;;;;국제 및 지역
506;bet;문화와 예술;명;내기;Participants place bets on the outcome of the race.;형;돈을 걸고 있는;He is known for being a bet enthusiast.;;;;국제 및 지역
507;royal;일상 및 여가 생활;형;왕족의, 왕의;The royal family resides in the palace.;;;;;;;국제 및 지역
508;ruin;일상 및 여가 생활;동;망치다, 파멸시키다;The storm ruined the crops.;명;파멸, 파산;The economic ruin resulted in widespread unemployment.;;;;국제 및 지역
509;worship;일상 및 여가 생활;동;숭배하다, 예배하다;People worship in the church on Sundays.;명;숭배, 예배;The ritual of worship brings communities together.;;;;국제 및 지역
510;evil;일상 및 여가 생활;형;사악한;Evil intentions lead to harmful actions.;명;악;The battle between good and evil continues.;;;;국제 및 지역
511;scarce;일상 및 여가 생활;형;부족한, 드문;Clean water is scarce in arid regions.;;;;;;;국제 및 지역
512;afterward;일상 및 여가 생활;부;나중에, 그 후에;The meeting ended, and afterward, we went for lunch.;;;;;;;국제 및 지역
513;client;정치, 법률 및 사회;명;고객, 의뢰인;The lawyer met with a new client to discuss the case.;;;;;;;국제 및 지역
514;insure;일상 및 여가 생활;동;보험을 계약하다, 안전하게 하다;It's important to insure your car against accidents.;;;;;;;국제 및 지역
515;fancy;문화와 예술;명;공상;His artwork reflects a touch of fancy.;형;화려한;She wore a fancy dress to the party.;동;상상하다;Children often fancy themselves as superheroes.;국제 및 지역
516;surgery;일상 및 여가 생활;명;외과 수술;She underwent surgery to remove the tumor.;;;;;;;국제 및 지역
517;assign;교육과 학습;동;할당하다, 지정하다;The teacher assigns homework to students every day.;;;;;;;국제 및 지역
518;regulate;문화와 예술;동;규제하다, 조절하다;Government agencies regulate the use of pesticides in agriculture.;;;;;;;국제 및 지역
519;shelf;일상 및 여가 생활;명;선반;He placed the books on the top shelf.;;;;;;;국제 및 지역
520;utility;일상 및 여가 생활;명;공익사업, 유용성;The utility of renewable energy sources is becoming more apparent.;;;;;;;국제 및 지역
521;necessity;일상 및 여가 생활;명;필요, 필수, 필수품;Clean water is a necessity for life.;;;;;;;국제 및 지역
522;yield;일상 및 여가 생활;동;생산하다, 굴복하다, 양도하다;Farmers hope for a high yield of crops this season.;명;수확(물);The yield of the investment exceeded expectations.;;;;국제 및 지역
523;decline;일상 및 여가 생활;명;감소, 쇠퇴;There has been a decline in the population of endangered species.;동;감소하다, 쇠퇴하다, 거절하다;The company's profits continue to decline.;;;;인간과 사회
524;coincidence;일상 및 여가 생활;명;우연의 일치, 동시에 일어난 사건;Their meeting was merely a coincidence.;;;;;;;국제 및 지역
525;aside;일상 및 여가 생활;부;한쪽으로, 제쳐 두고;He pushed the books aside to make space on the desk.;;;;;;;국제 및 지역
526;contemporary;음식과 요리;형;현대의, 동시대의;The museum features contemporary artwork.;;;;;;;국제 및 지역
527;bless;일상 및 여가 생활;동;축복하다, 감사하다;She blessed the newlyweds with a long and happy marriage.;;;;;;;국제 및 지역
528;explain;교육과 학습;동;설명하다;The teacher explained the math problem step by step.;;;;;;;인간과 사회
529;prior;일상 및 여가 생활;형;이전의, 우선하는;He had a prior commitment and couldn't attend the meeting.;;;;;;;국제 및 지역
530;tolerate;교육과 학습;동;참다, 용인하다;Parents must teach children to tolerate differences.;;;;;;;국제 및 지역
531;measure;일상 및 여가 생활;동;측정하다;He used a ruler to measure the length of the table.;명;측정, 수단;The new safety measures significantly reduced accidents.;;;;국제 및 지역
532;abstract;문화와 예술;형;추상적인;The painting was an abstract representation of emotions.;명;추상, 개요;The book begins with an abstract outlining the main points.;;;;국제 및 지역
533;cottage;일상 및 여가 생활;명;오두막집;They rented a cottage by the lake for their vacation.;;;;;;;국제 및 지역
534;correct;일상 및 여가 생활;형;올바른, 정확한;Please provide the correct answer to the question.;동;바로잡다, 정정하다;She corrected her mistake after realizing it.;;;;국제 및 지역
535;confirm;건강과 의료;동;확인하다, 입증하다, (결심을) 굳게 하다;The doctor confirmed the diagnosis after running tests.;;;;;;;인간과 사회
536;imitate;일상 및 여가 생활;동;모방하다;Children often imitate their parents' behavior.;;;;;;;국제 및 지역
537;prey;일상 및 여가 생활;명;먹이, 희생자;The lion stalked its prey in the tall grass.;;;;;;;국제 및 지역
538;defeat;일상 및 여가 생활;동;패배시키다;The team defeated their rivals in the championship game.;명;패배;They were disappointed by their defeat in the final match.;;;;국제 및 지역
539;illustrate;일상 및 여가 생활;동;설명하다, (분명히) 보여주다, 삽화를 넣다;The diagram illustrates the process of photosynthesis.;;;;;;;인간과 사회
540;fuse;일상 및 여가 생활;명;퓨즈, 도화선;He replaced the blown fuse in the electrical panel.;동;융합하다;The two companies merged to fuse their resources.;;;;국제 및 지역
541;pupil;교육과 학습;명;학생, 눈동자;The teacher praised the pupil for excellent performance.;;;;;;;국제 및 지역
542;intellect;일상 및 여가 생활;명;지성;Her intellect allowed her to solve complex problems.;;;;;;;국제 및 지역
543;spice;일상 및 여가 생활;명;향신료, 양념;She added a pinch of spice to enhance the flavor.;;;;;;;국제 및 지역
544;tempt;일상 및 여가 생활;동;유혹하다 (관심을) 끌다;The delicious aroma tempted him to try the dessert.;;;;;;;국제 및 지역
545;inspire;일상 및 여가 생활;동;영감을 주다, 고무시키다, 격려하다;Her speech inspired the audience to pursue their dreams.;;;;;;;국제 및 지역
546;dine;일상 및 여가 생활;동;식사하다, 만찬을 대접하다;They chose to dine at an elegant restaurant for their anniversary.;;;;;;;국제 및 지역
547;literally;일상 및 여가 생활;부;문자 그대로;He took the phrase literally and misunderstood its meaning.;;;;;;;국제 및 지역
548;appropriate;일상 및 여가 생활;형;적절한;It's important to choose the appropriate words for the occasion.;;;;;;;인간과 사회
549;resort;일상 및 여가 생활;명;휴양지, 의지;They decided to go to a beach resort for their vacation.;동;의지하다, 자주 가다;He resorted to asking for help when he couldn't solve the problem.;;;;국제 및 지역
550;grab;일상 및 여가 생활;동;움켜쥐다;He grabbed his coat and rushed out the door.;명;움켜쥠;She made a quick grab for the falling vase.;;;;국제 및 지역
551;propose;일상 및 여가 생활;동;제안하다, 청혼하다;He proposed a new strategy for increasing sales.;;;;;;;국제 및 지역
552;wreck;일상 및 여가 생활;명;난파선, 사고;The wreck of the ship was visible from the shore.;동;난파시키다;The storm wrecked havoc on the coastal town.;;;;국제 및 지역
553;document;일상 및 여가 생활;명;문서, 서류;Please submit the required documents with your application.;동;기록하다;She documented her travels in a journal.;;;;국제 및 지역
554;suspect;일상 및 여가 생활;동;의심하다;The police suspected him of committing the crime.;명;용의자;The suspect was arrested after a lengthy investigation.;;;;국제 및 지역
555;alien;일상 및 여가 생활;형;외국의, 이질적인;The concept seemed alien to him at first.;명;외국인, 외계인;The movie depicted an encounter with an alien species.;;;;국제 및 지역
556;prohibit;일상 및 여가 생활;동;금지하다;The sign prohibits parking in this area.;;;;;;;국제 및 지역
557;install;과학과 기술;동;설치하다;He hired a technician to install the new software.;;;;;;;국제 및 지역
558;triumph;일상 및 여가 생활;명;승리;The team celebrated their triumph in the championship game.;동;승리하다;She triumphed over adversity to achieve her goals.;;;;국제 및 지역
559;scholarship;교육과 학습;명;장학금, 학문;He received a scholarship to study abroad.;;;;;;;국제 및 지역
560;execute;일상 및 여가 생활;동;실행하다, 처형하다;The CEO decided to execute the plan immediately.;;;;;;;국제 및 지역
561;ensure;정치, 법률 및 사회;동;반드시 ~하게 하다, 보장하다, 확실하게 하다;The insurance policy ensures financial security for the family.;;;;;;;국제 및 지역
562;receipt;일상 및 여가 생활;명;영수증;Please keep your receipt as proof of purchase.;;;;;;;국제 및 지역
563;defect;일상 및 여가 생활;명;결점, 결함;The product was returned due to a defect in manufacturing.;동;(국가•당 등을) 버리다;He chose to defect to the opposing political party.;;;;국제 및 지역
564;trait;일상 및 여가 생활;명;특징, 특성;His sense of humor is one of his most endearing traits.;;;;;;;과학과 기술
565;modest;일상 및 여가 생활;형;겸손한, 미천한, 알맞은;She lived in a modest house in the countryside.;;;;;;;국제 및 지역
566;virtual;일상 및 여가 생활;형;실제의, 가상의, 사실상의;Virtual reality allows users to experience imaginary worlds.;;;;;;;국제 및 지역
567;compare;일상 및 여가 생활;동;비교하다, 비유하다;She compared the two products before making a decision.;;;;;;;국제 및 지역
568;address;일상 및 여가 생활;명;주소, 연설, 인사말;He wrote his address on the envelope.;동;연설하다, 접근하다;The mayor will address the crowd at the ceremony.;;;;국제 및 지역
569;inner;일상 및 여가 생활;형;안쪽의, 내적인, 내부의;She focused on her inner thoughts during meditation.;;;;;;;국제 및 지역
570;contrary;일상 및 여가 생활;형;반대의, 불리한;His actions were contrary to his words.;명;정반대, 반대의 것;Despite his protests, the decision was made contrary to his wishes.;;;;국제 및 지역
